Unnamed: 0,index,claim_id,patent_application_id,cited_document_id,text,text_b,label,date,DIznQ_0
2252214.0,2252214.0,89935_1,EP2845881A1,EP1769845,A multilayer structure having at least one layer of the resin composition according to any one of claims 1 to 10.,First 1.26 g 31.5 mmol of sodium hydroxide was dissolved in 45.0 g of ethanol.Thereafter 10.00 g 30.3 mmol of eicosapentaenoic acid ethyl ester manufactured by KYOWA TECNOS CO.LTD.was added thereto.This was refluxed for four hours.The reaction liquid was concentrated with the evaporator and then was dried under reduced pressure.Thus sodium eicosapentaenoate was obtained.Then an aqueous solution containing 3.2 g of barium chloride dissolved in 30 ml of water was added to an aqueous solution containing 10.00 g of the dried sodium eicosapentaenoate dissolved in 200 ml of water over 30 minutes.The product that had precipitated wastaken out and then was subjected to vacuum drying at 60C.Thus 9.5 g of barium eicosapentaenoate EPABa was obtained.,1.0,20150311.0,0.8573449928022661
16495.0,16495.0,30062_1,EP2471505A1,EP2196186,Kit for treating hair comprising a cleansing composition according to claims 1 to 12 and optionally at least one composition comprising a hair dye.,Suitable aspartate surfactants are according to the general formulawherein R1 is preferably a saturated or unsaturated straight or branched alkyl chain with 7 to 17 C atoms and more preferably 9 to 13 C atoms and M is independent from each other H sodium or potassium.Suitable examples are sodium lauroyl aspartate sodium myristoyl aspartate sodium cocoyl aspartate sodium caproyl aspartate disodium lauryl aspartate disodium myristoyl aspartate disodium cocoyl aspartate disodium caproyl aspartate potassium lauroyl aspartate potassium myristoyl aspartate potassium cocoyl aspartate potassium caproyl aspartate dipotassium lauroyl aspartate dipotassium myristoyl aspartate dipotassium cocoyl aspartate and dipotassium caproyl aspartate and mixtures thereof.Preferred are sodium lauroyl aspartate sodium myristoyl aspartate sodium cocoyl aspartate and sodium caproyl aspartate and mixtures thereof,1.0,20120704.0,0.06642266950559772
3146995.0,3146995.0,70442_0,EP2947012A1,EP1860026,The method according to any one of claims 9 to 14 wherein the process air flowing through the process air line 12 is compressed by means of a further compressor 66 arranged in the process air line 12 wherein the further compressor 66 in particular is driven by the turbine 44 to allow the use of process air at a low pressure which increases the energy efficiency of the cycle of the process air source 14.,Depending on whether the aircraft is on ground or in flight air is directly supplied to the ECS 80 as ram air from two electric compressors 102 and 104 or from a compressor 138 that is included in the APCU 85.During flight ram air 70 is channeled to the cabin air compressors 102 and 104 and also to the APCU compressor 138.A valve 142 is opened and the APCU compressor 138 supplies additional pressurized air through the valve 142 to the ECS 80.The cabin air compressors 102 and 104 are powered by motors 103 and 105 respectively and each motor is activated and regulated by a controller 101a and 101c respectively.Likewise a generatormotor 136 powers the APCU compressor 180 and is activated and regulated by a controller 101b that adjusts the APCU input and output power.,0.0,20151125.0,0.591293483961298
185780.0,185780.0,1294_1,EP2505235A1,EP1985335,The trampoline of claim 1 wherein the feedback system provides a visible feedback signal.,In use a user may configure various desirable exercise parameters means of user the control keypad 11.To monitor his physiological parameters the user places a hand on each of the physiological sensors 4 and 6.Electrical signals representative of the bodys physiological action are then detected by the physiological sensors 4 and 6 and an electrical signal representative passed to the processor 5.Calculations are made by the processor 5 and the results displayed on the visual display 9.,1.0,20121003.0,0.905017354480275
4310609.0,4310609.0,164995_0,EP3082355A1,EP2731381,Method according to any of the preceding claims wherein the second set 407 of at least one parameter comprises a universally unique identifier UUIDG indentifying a business owner.,Meanwhile a method that the SD manages a key according to an exemplary embodiment of the present invention is as follows.,0.0,20161019.0,0.17235613519653303
5036179.0,5036179.0,175626_0,,EP2050543,The stapler according to claim 2 wherein the stapler includes a cutting blade guide that suppresses the one pair of cutting blades penetrating the workpiece from being falling down inward and the pressing portion is provided in the cutting blade guide.,By moving the driver 18 upward rotating the links 57 in the reverse direction of the arrow E in FIG.2 further and moving the long hole 57a of the link 57 which holds down the pusher shaft 58 the pusher 17 biased by the pusher spring 16 moves to the same position as the standby state shown by FIG.40 and FIG.75.It should be noted that when the driver becomes in the standby state perfectly a front of the staple which is shaped into a shape in which both the edges are bent to one direction is opened so that the pusher 17 moves forward depending on elasticity of the pusher spring 16 which has been in a compressed state.Consequently the feeding operation of the staple shaped into a shape in which both the edges are bent to one direction and the feeding operation of other staples are executed approximately simultaneously.,0.0,20170329.0,0.757247939564565
950253.0,950253.0,72004_1,EP2645334A1,EP2378760,The system of claim 1 wherein said kernel design procedure includes obtaining camera aperture data including an aperture shape and aperture dimensions said kernel design procedure further including analyzing said camera aperture data to determine said symmetry characteristics.,Then the amount of blur difference between fA and fB can be measured by the number of convolutions in Eq.1.It will be appreciated that this blur kernel represents a uniform amount of blur and can be configured in a number of different ways and represents a wide range of values without departing from the teachings of the present invention.In actual implementation the blur difference is obtained by an iteration process given by the following.IABarg minIfAKKKI convolutionsfB where.denotes a norm operator that evaluates the blur matching error between fA and fB.,1.0,20131002.0,0.9776762444229045
2727070.0,2727070.0,92111_1,EP2899997A1,EP2565667,The method according to one of the claims 1 to 5 wherein the watermarks distinct for each loudspeaker LS ML CS MR and RS are watermarks synchronously embedded in audio signals in each channel of the multi loudspeaker sound system.,Determination of the direction of arrival vector from the azimuth angleThe direction of arrival vector a can be computed as acossin.,1.0,20150729.0,0.9922465516532721
4548422.0,4548422.0,134474_1,EP3103669A1,EP1153783,The control device according to claim 2 wherein the control unit is configured to make the traveling state amount in the second suppression state closer to the traveling state amount in the first suppression state as the difference between the traveling state amount in the first suppression state and the current traveling state amount is smaller.,FIG.11 is a flowchart illustrating an accelerator sensor abnormality processing routine executed by the hybrid vehicle of the embodiment.This routine is executed by the master control CPU 272 at every predetermined time.Although an abnormality of either one of the two sensors 165a 165b of the accelerator sensor 165 can be detected an operation of detecting an abnormality of the sensor 165a and changing the control so that the sensor 165b is used will be described below since in the hybrid vehicle of the embodiment a control input degree of accelerator operation is usually determined from the first output signal AP1.,1.0,20161214.0,0.7530880368723766
3322926.0,3322926.0,111138_1,EP2963169A1,EP1652868,The fiberreinforced composite of claim 15 wherein the binder further comprises a melamine salt formed by a reaction of the melamine with the curing catalyst in the formaldehydefree binder composition and the curing catalyst is selected from a sulfate salt a phosphate salt a borate salt or combinations thereof preferably the curingcatalyst is chosen from ammonium sulfate diammonium phosphate ammonium borate or combinations thereof.,There exists a continuing need for thermosetting compositions without formaldehyde which perform in many applications like melamineformaldehyde resins and exhibit for example tensile strength compared to conventional resins.,1.0,20160106.0,0.22076215415195566
1587938.0,1587938.0,48417_0,EP2750319A1,EP2051454,The method of claim 1 further comprising storing by the Node B the plurality of data packets and based on the status report deleting one or more stored data packets of the stored plurality of data packets.,The RLC Acknowledged Mode AM operation at the base station BS still takes place according to the status report of the relay node RN local error recovery.However the RLC layer of the base station BS does advantageously not delete Protocol Data Units PDUs that have been acknowledged by the relay node RN but not yet by the user terminal UT.,0.0,20140702.0,0.3934086251322608
